电影名称,评分,评论数,类型,地区,上映年份,总分
惊天魔盗团,7.5,199963,悬疑/犯罪/奇幻,美国/法国,2013,1499722.5
霍比特人1：意外之,8.1,199625,动作/奇幻/冒险,美国/新西兰,2013,1616962.5
第九区,8.1,198680,剧情/动作/科幻/惊悚,美国/新西兰/加拿大/南非,2009,1609308
搜索,7.3,197928,剧情/悬疑,中国大陆,2012,1444874.4
色，戒,7.9,197614,剧情/爱情/情色,台湾/美国/香港/中国大陆,2007,1561150.6
神偷奶爸,8.1,196524,喜剧/科幻/动画/家庭/犯罪/冒险,美国,2014,1591844.4
全城热恋,6.3,195399,喜剧/爱情,香港/美国/中国大陆,2010,1231013.7
倩女幽魂,8.5,195072,剧情/爱情/武侠/古装,香港,2011,1658112
爱在暹罗,8.3,194323,剧情/爱情/同性/家庭,泰国,2007,1612880.9
幸福终点站,8.6,192424,剧情/喜剧/爱情,美国,2005,1654846.4
变形金刚,7.1,191943,动作/科幻,美国,2011,1362795.3
幽灵公主 もののけ,8.8,191099,动画/奇幻/冒险,日本,1997,1681671.2
模仿游戏,8.6,190343,剧情/同性/传记/战争,英国/美国,2015,1636949.8
银河护卫队,8,190255,喜剧/动作/科幻/冒险,美国/英国,2014,1522040
甜蜜蜜,8.7,190187,剧情/爱情,香港,2015,1654626.9
怪兽电力公司,8.6,189750,喜剧/动画/儿童/奇幻,美国,2001,1631850
饥饿游戏,6.7,189134,动作/科幻/冒险,美国,2012,1267197.8
第六感,8.8,189031,剧情/悬疑/惊悚,美国,1999,1663472.8
僵尸新娘,8.1,188882,爱情/动画/歌舞/奇幻,英国/美国,2005,1529944.2
天下无贼,7.6,188605,剧情/动作/犯罪,中国大陆/香港,2004,1433398
哈利·波特与魔法石,8.5,188449,奇幻/冒险,美国/英国,2002,1601816.5
艋舺,7.7,188351,剧情,台湾,2010,1450302.7
海角七号 海角七,7.6,188155,剧情/喜剧/爱情,台湾,2009,1429978
唐山大地震,7.4,186732,剧情/家庭/历史/灾难,中国大陆/香港,2010,1381816.8
春光乍泄 春光乍,8.7,185845,剧情/爱情/同性,香港/日本/韩国,1997,1616851.5
拯救大兵瑞恩,8.8,185637,剧情/历史/战争,美国,1998,1633605.6
假如爱有天意,8.2,185361,剧情/爱情,韩国,2003,1519960.2
速度与激情,8.4,185212,剧情/动作/惊悚/犯罪,美国,2011,1555780.8
花样年华 花樣年,8.4,185121,剧情/爱情,香港/法国,2000,1555016.4
穆赫兰道,8.4,184310,剧情/悬疑/惊悚,法国/美国,2001,1548204
爱丽丝梦游仙境,7,183537,奇幻/冒险,美国,2010,1284759
无耻混蛋,8.4,183390,剧情/犯罪,美国/德国,2009,1540476
烈日灼心,7.9,183146,剧情/悬疑/犯罪,中国大陆,2015,1446853.4
智取威虎山,7.7,182289,动作/战争/冒险,中国大陆/香港,2014,1403625.3
港囧,5.8,181247,喜剧,中国大陆,2015,1051232.6
鬼子来了,9.1,180738,剧情/战争,中国大陆,2000,1644715.8
钢铁侠,7.8,180544,动作/科幻/惊悚/冒险,美国,2008,1408243.2
加勒比海盗4：惊涛怪,7.5,179809,动作/奇幻/冒险,美国,2011,1348567.5
变脸,8.4,179714,动作/犯罪,美国,1997,1509597.6
钢铁侠,7.5,179084,动作/科幻,美国/中国大陆,2013,1343130
大侦探福尔摩斯,7.5,179057,动作/悬疑/惊悚/犯罪/冒险,美国/德国,2010,1342927.5
借东西的小人阿莉埃蒂 借りぐらしのアリエッテ,8.7,178199,动画/奇幻/冒险,日本,2010,1550331.3
她,8.3,177710,剧情/爱情/科幻,美国,2013,1474993
初恋5,7.9,177288,喜剧/爱情,美国,2004,1400575.2
爱 ,7,177047,剧情/爱情,台湾/中国大陆,2012,1239329
后天,8,176737,动作/科幻/冒险/灾难,美国,2004,1413896
侏罗纪世界,7.7,176557,动作/科幻/冒险,美国/中国大陆,2015,1359488.9
美国队长,8,176545,动作/科幻/冒险,美国,2014,1412360
窃听风暴,9.1,176426,剧情/悬疑,德国,2006,1605476.6
煎饼侠,6.2,176092,喜剧,中国大陆,2015,1091770.4
泰迪熊,7,175776,喜剧,美国,2012,1230432
雨人,8.6,175411,剧情,美国,1988,1508534.6
叶问,7.6,175393,剧情/动作/传记/历史,香港/中国大陆,2008,1332986.8
爱在黎明破晓前,8.7,174053,剧情/爱情,美国/奥地利/瑞士,1995,1514261.1
查理和巧克力工厂,7.9,173573,喜剧/家庭/奇幻/冒险,美国/英国/澳大利亚,2005,1371226.7
青蛇,8.3,173165,剧情/奇幻/古装,香港,1993,1437269.5
寒战 寒,7.4,173158,剧情/动作/犯罪,香港/中国大陆,2012,1281369.2
变形金刚4：绝迹重,6.6,172769,动作/科幻,美国/中国大陆,2014,1140275.4
复仇者联盟2：奥创纪,7.1,172612,动作/科幻/奇幻/冒险,美国,2015,1225545.2
将爱情进行到底,6.7,172095,剧情/爱情,中国大陆,2011,1153036.5
桃姐,8.2,170615,剧情,香港,2012,1399043
催眠大师,7.6,169755,剧情/悬疑/惊悚,中国大陆,2014,1290138
唐人街探案,7.5,169694,喜剧/动作/悬疑,中国大陆,2015,1272705
萤火虫之墓 火垂るの,8.8,169485,剧情/动画/战争,日本,1988,1491468
怪兽大学,8,169293,喜剧/动画/冒险,美国,2013,1354344
夜访吸血鬼,8.3,168913,剧情/惊悚/奇幻,美国,1994,1401977.9
霍比特人2：史矛革之,8.2,168661,动作/奇幻/冒险,美国/新西兰,2014,1383020.2
十二生肖,6.7,168622,喜剧/动作/冒险,中国大陆/香港,2012,1129767.4
海底总动员,8.2,168452,喜剧/动画/家庭/冒险,美国/澳大利亚,2003,1381306.4
霍比特人3：五军之,8.2,167986,动作/奇幻/冒险,美国/新西兰,2015,1377485.2
宝贝计划,7.1,167497,剧情/喜剧/动作,中国大陆/香港,2006,1189228.7
猫鼠游戏,8.7,167005,剧情/传记/犯罪,美国/加拿大,2002,1452943.5
山楂树之恋,6.7,166713,剧情/爱情,中国大陆,2010,1116977.1
钢琴家,9,166550,剧情/传记/历史/战争,法国/德国/英国/波兰,2002,1498950
熔炉,9.1,166196,剧情,韩国,2011,1512383.6
玩具总动员,8.7,165626,喜剧/动画/奇幻/冒险,美国,2010,1440946.2
滚蛋吧！肿瘤君,7.5,165620,喜剧/爱情,中国大陆,2015,1242150
电锯惊魂,8.6,165127,悬疑/惊悚/犯罪,美国/澳大利亚,2004,1420092.2
杜拉拉升职记,5.7,165034,剧情/喜剧/爱情,中国大陆,2010,940693.8
孤儿怨,8.1,164208,剧情/悬疑/惊悚,美国/加拿大/德国/法国,2009,1330084.8
加勒比海盗2：聚魂,8.1,163480,动作/奇幻/冒险,美国,2006,1324188
晚秋,6.9,163171,剧情,韩国/美国/香港,2012,1125879.9
诺丁山,7.9,162874,喜剧/爱情,英国/美国,1999,1286704.6
黑衣人,7.5,162760,喜剧/动作/科幻,美国,2012,1220700
爱在日落黄昏时,8.7,162730,剧情/爱情,美国,2004,1415751
小鬼当家,8,161210,喜剧/家庭,美国,1990,1289680
龙门飞甲,6.7,161186,动作/武侠/古装,中国大陆/香港,2011,1079946.2
疯狂的麦克斯4：狂暴之,8.5,161023,动作/科幻/冒险,澳大利亚/美国,2015,1368695.5
007：大破天,6.9,160790,动作/惊悚/犯罪/冒险,英国/美国,2013,1109451
一步之遥,6.2,159460,喜剧/爱情/冒险,中国大陆/美国/香港,2014,988652
我是传奇,7.8,159443,剧情/科幻/惊悚/灾难,美国,2007,1243655.4
雏菊,8,158981,剧情/爱情,韩国/香港,2006,1271848
人工智能,8.6,158000,剧情/科幻/冒险,美国,2001,1358800
头脑特工队,8.7,157968,喜剧/动画/家庭/冒险,美国,2015,1374321.6
公主日记,7.5,157917,喜剧/爱情/家庭,美国,2001,1184377.5
泰坦尼克号 ,9.4,157074,剧情/爱情/灾难,美国,2012,1476495.6
私人订制,5.6,156918,喜剧,中国大陆,2013,878740.8
朱诺,7.9,156611,剧情/喜剧/爱情,美国/加拿大,2007,1237226.9
窃听风云 竊聽風,7.4,156375,剧情/动作/惊悚,香港/中国大陆/新加坡,2009,1157175
加勒比海盗3：世界的尽,8,156157,动作/奇幻/冒险,美国,2007,1249256
归来,7.7,156000,剧情/爱情/历史,中国大陆,2014,1201200
时间旅行者的妻子,7.7,155922,剧情/爱情/悬疑/奇幻,美国,2009,1200599.4
分手大师,5.1,155129,喜剧/爱情,中国大陆,2014,791157.9
绣春刀,7.5,154581,动作/爱情/武侠/古装,中国大陆,2014,1159357.5
食神,7.7,154122,喜剧/动作,香港,1996,1186739.4
无敌破坏王,8.7,153972,喜剧/动画/冒险,美国,2012,1339556.4
疯狂的赛车,7.8,153781,喜剧/动作/冒险,中国大陆,2009,1199491.8
发条橙,8.4,153315,剧情/科幻/犯罪,英国/美国,1971,1287846
美国丽人,8.4,152418,剧情/家庭,美国,1999,1280311.2
魔女宅急便 魔女の宅急,8.4,152253,动画/奇幻/冒险,日本,1989,1278925.2
杀死比尔,8,152213,动作/惊悚/犯罪,美国,2003,1217704
哈利·波特与死亡圣器(,7.8,152024,剧情/奇幻/冒险,英国/美国,2010,1185787.2
杀人回忆,8.6,151994,剧情/悬疑/惊悚/犯罪,韩国,2003,1307148.4
杀人回忆,8.6,151878,剧情/悬疑/惊悚/犯罪,韩国,2003,1306150.8
碟中谍5：神秘国,7.7,151456,动作/惊悚/冒险,美国/香港/中国大陆,2015,1166211.2
九品芝麻官,8.1,151436,喜剧,香港,1994,1226631.6
教父2,9.1,151333,剧情/犯罪,美国,1974,1377130.3
英国病人,8.4,151044,剧情/爱情/战争,美国/英国,1996,1268769.6
普罗米修斯,7.1,151020,动作/科幻/惊悚/恐怖,美国/英国,2012,1072242
海扁王,7.5,150403,动作/惊悚/犯罪,美国/英国,2010,1128022.5
重返2,7.3,150089,喜剧/爱情/奇幻,中国大陆/韩国/台湾/香港,2015,1095649.7
画皮2 畫,5.9,149832,动作/爱情/惊悚/奇幻,中国大陆/香港,2012,884008.8
美食总动员,8.2,149225,喜剧/动画/奇幻,美国,2007,1223645
谍影重重,8.5,148996,动作/悬疑/冒险,美国/德国/捷克,2002,1266466
穿越时空的少女 時をかける少,8.7,148876,剧情/爱情/科幻/动画,日本,2006,1295221.2
西雅图未眠夜,8,148376,剧情/喜剧/爱情,美国,1993,1187008
长江七号,6.2,147897,剧情/喜剧/科幻/家庭/奇幻,中国大陆/香港,2008,916961.4
悬崖上的金鱼姬 崖の上のポニ,8.2,147800,动画/奇幻/冒险,日本,2008,1211960
逃离德黑兰,8.2,147544,剧情/惊悚/历史,美国,2012,1209860.8
新龙门客栈 新龍門客,8.4,147427,剧情/动作/武侠/古装,香港/中国大陆,1992,1238386.8
窃听风云,7.6,147251,剧情/动作/悬疑/犯罪,香港/中国大陆,2011,1119107.6
撞车,8.6,147027,剧情/犯罪,美国/德国,2004,1264432.2
X战警：第一,8.1,146818,剧情/动作/科幻,美国/英国,2011,1189225.8
你看起来好像很好吃 おまえうまそうだ,8.9,146799,剧情/动画/儿童,日本,2010,1306511.1
午夜巴黎,8.1,146787,剧情/爱情/奇幻,西班牙/美国,2011,1188974.7
金刚,7.7,146773,剧情/动作/爱情/冒险,新西兰/美国/德国,2006,1130152.1
李米的猜想,7.7,145740,剧情/爱情/犯罪,中国大陆/香港,2008,1122198
非常完美,6.1,145672,喜剧/爱情,中国大陆/韩国,2009,888599.2
铁甲钢拳,8.2,145256,剧情/动作/科幻/运动,美国/印度,2011,1191099.2
战争之王,8.5,144923,剧情/犯罪,美国/法国,2005,1231845.5
在云端,7.9,144862,剧情/爱情,美国,2009,1144409.8
蚁人,7.6,144780,动作/科幻/冒险,美国,2015,1100328
钢的琴,8.3,144617,剧情/喜剧,中国大陆,2011,1200321.1
前度,7.1,143795,爱情,香港,2010,1020944.5
宿醉,7.7,143607,喜剧,美国,2009,1105773.9
风之谷 風の谷のナウシ,8.8,143601,科幻/动画/奇幻/冒险,日本,1905,1263688.8
哈利·波特与密室,8.1,143456,奇幻/冒险,美国/英国/德国,2003,1161993.6
战马,8,143193,剧情/战争,美国,2012,1145544
午夜巴塞罗那,7.8,142307,剧情/爱情,西班牙/美国,2008,1109994.6
白日焰火,7.1,142232,剧情/悬疑/犯罪,中国大陆,2014,1009847.2
谍影重重,8.7,141202,动作/悬疑/冒险,美国/德国,2007,1228457.4
解救吾先生,7.9,141198,剧情/犯罪,中国大陆,2015,1115464.2
美国往事,9.1,141130,剧情/犯罪,意大利/美国,1984,1284283
厨子戏子痞子,7,140991,喜剧/动作,中国大陆,2013,986937
恋空,7.1,140426,剧情/爱情,日本,2007,997024.6
菊次郎的夏天 菊次郎の,8.7,140137,剧情/喜剧,日本,1999,1219191.9
恐怖直播,8.7,139754,剧情/悬疑/犯罪,韩国,2013,1215859.8
暮光之城2：新,6.5,139625,剧情/爱情/惊悚/奇幻,美国,2009,907562.5
听风者,6.9,138725,剧情/悬疑,中国大陆/香港,2012,957202.5
黑衣人,7.9,138613,喜剧/动作/科幻,美国,1997,1095042.7
大内密探零零发 大內密探零零,7.6,138560,剧情/喜剧/动作/爱情,香港,1996,1053056
荒野猎人,7.9,138368,剧情/惊悚/冒险,美国,2016,1093107.2
